Open time,Open,High,Low,Close,Volume
3/14/2018,9151.92,9333.78,7900.28,8170,49708.09411
3/15/2018,8184.01,8430,7650,8240.98,52291.02228
3/16/2018,8240.98,8611.64,7900,8260,38815.40989
3/17/2018,8260,8348.62,7721.99,7824.8,33110.20633
3/18/2018,7824.01,8317.4,7322,8189.99,59488.23171
3/19/2018,8189,8705.23,8088.4,8600,55297.08494
3/20/2018,8595.01,9050,8280,8909.98,44865.10584
3/21/2018,8909.96,9177.01,8750.6,8885,39972.40537
3/22/2018,8884.82,9100,8465.1,8722.9,40617.55681
3/23/2018,8720,8909,8269,8898.03,39991.00767
3/24/2018,8898.04,8999.95,8491,8546.86,35466.60957
3/25/2018,8531.25,8669.85,8365.77,8470.15,29001.76932
3/26/2018,8470.14,8514.89,7831,8134.23,44033.59566
3/27/2018,8134.22,8215.94,7730,7795.51,37427.64805
3/28/2018,7795.51,8109,7728,7949.3,26401.33167
3/29/2018,7949.3,7975,6941.11,7090.14,54620.91513
3/30/2018,7090.16,7292.43,6600.1,6840.23,65306.03198
3/31/2018,6840.24,7223.36,6777,6923.91,36868.53909
4/1/2018,6922,7049.98,6430,6813.01,44071.43046
4/2/2018,6813.01,7125,6765,7056,32123.56007
4/3/2018,7063.97,7520,7011.01,7405.21,37787.33181
4/4/2018,7405.21,7427.52,6707,6796.1,42227.1838
4/5/2018,6796.1,6902,6566.69,6770.76,39029.73146
4/6/2018,6770,6850,6500,6601.39,27455.01192
4/7/2018,6601.39,7070,6586.28,6895.8,32269.57827
4/8/2018,6895.81,7109.13,6880,7018,21427.67317
4/9/2018,7011.04,7185,6611,6782.72,34078.29721
4/10/2018,6781.55,6890,6656,6843.9,22326.7281
4/11/2018,6839.56,6990,6787,6953.79,23997.87118
4/12/2018,6953.78,8012.23,6743.2,7923,64861.59599
4/13/2018,7922.99,8233.39,7732,7877.41,55044.52315
4/14/2018,7877.48,8186,7810,7999.01,31621.28636
4/15/2018,8004,8429.54,7999.02,8355,27946.72044
4/16/2018,8355.07,8419,7867,8064.92,36664.06972
4/17/2018,8064.92,8173.7,7825.4,7885.02,32152.60357
4/18/2018,7890.96,8236.43,7868,8173,26969.04457
4/19/2018,8173.99,8296,8080,8278,27113.84746
4/20/2018,8273.84,8930,8177.09,8856.98,39795.33749
4/21/2018,8852.12,9035,8565,8915.31,40872.22991
4/22/2018,8915.31,9020.67,8727.68,8787.02,29458.25348
4/23/2018,8785.7,8985,8745,8934.01,25838.11471
4/24/2018,8934,9731.01,8922,9619.99,46268.79011
4/25/2018,9618.96,9759.82,8730,8869.99,81110.03759
4/26/2018,8869.99,9307.48,8651.62,9266,43300.30425
4/27/2018,9267.03,9395,8889,8915.35,37241.34704
